가게이름,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,재료가 신선해요,가성비가 좋아요,양이 많아요,인테리어가 멋져요,혼밥하기 좋아요,링크
돈주는남자 본점,0.347,0.195,0.076,0.046,0.145,0.088,0.102,0,0,https://m.place.naver.com/restaurant/34013916/review/visitor
육몽 홍대본점,0.303,0.191,0.083,0.108,0.107,0.111,0.096,0,0,https://m.place.naver.com/restaurant/313241250/review/visitor
육지,0.295,0.168,0.128,0.109,0.12,0.061,0.052,0.067,0,https://m.place.naver.com/restaurant/1287775548/review/visitor
더담,0.395,0.234,0,0.089,0.166,0.058,0,0.058,0,https://m.place.naver.com/restaurant/21433628/review/visitor
마포곱창타운 연남점,0.35,0.235,0.056,0.053,0.132,0.068,0.105,0,0,https://m.place.naver.com/restaurant/18356763/review/visitor
옥동식,0.325,0.091,0.112,0.094,0.103,0.026,0.054,0.045,0.151,https://m.place.naver.com/restaurant/859857359/review/visitor
다독이네 숯불구이 홍대합정점,0.253,0.229,0.061,0.138,0.142,0.153,0,0.024,0,https://m.place.naver.com/restaurant/1648798478/review/visitor
산더미불고기,0.29,0.125,0.091,0.07,0.107,0.142,0.174,0,0,https://m.place.naver.com/restaurant/31558719/review/visitor
풀뜯는돼지,0.329,0.182,0.151,0.074,0.191,0.05,0.023,0,0,https://m.place.naver.com/restaurant/1630360144/review/visitor
합정광안리 본점,0.297,0.164,0.107,0.053,0.204,0.079,0.076,0.019,0,https://m.place.naver.com/restaurant/1223384037/review/visitor
평이담백 뼈칼국수 본점,0.367,0.105,0.108,0.091,0.075,0.047,0.147,0,0.06,https://m.place.naver.com/restaurant/1092805249/review/visitor
신미경홍대닭갈비,0.373,0.157,0.039,0.048,0.083,0.109,0.191,0,0,https://m.place.naver.com/restaurant/32572240/review/visitor
이양권반상 합정점,0.182,0.106,0.137,0.085,0.05,0.139,0.186,0.017,0.099,https://m.place.naver.com/restaurant/1772266165/review/visitor
경주식당,0.331,0.163,0.087,0.078,0.087,0.031,0.071,0.152,0,https://m.place.naver.com/restaurant/31469248/review/visitor
일편등심 홍대본점,0.361,0.294,0,0.129,0.145,0,0,0.071,0,https://m.place.naver.com/restaurant/34565224/review/visitor
하와이조개 홍대점,0.261,0.164,0.059,0.143,0.178,0.082,0,0.113,0,https://m.place.naver.com/restaurant/1419575982/review/visitor
빽돈 홍대점,0.289,0.228,0.122,0.125,0.089,0.088,0.059,0,0,https://m.place.naver.com/restaurant/1556960033/review/visitor
육미안 연남점,0.298,0.255,0.117,0.117,0,0.043,0.09,0.08,0,https://m.place.naver.com/restaurant/1231465853/review/visitor
양화주택,0.227,0.188,0.106,0.144,0.091,0.065,0.081,0.097,0,https://m.place.naver.com/restaurant/1064736730/review/visitor
연남물갈비,0.406,0.139,0.112,0.045,0.054,0.059,0.186,0,0,https://m.place.naver.com/restaurant/1418981294/review/visitor
평안도 상원냉면,0.327,0.141,0.111,0.006,0.081,0.127,0.073,0,0.133,https://m.place.naver.com/restaurant/1775477282/review/visitor
쟁반집8292 홍대점,0.281,0.198,0.057,0.111,0.089,0.176,0.088,0,0,https://m.place.naver.com/restaurant/1246697901/review/visitor
홍스쭈꾸미 홍대본점,0.408,0.152,0.083,0.03,0.074,0.133,0.105,0,0.014,https://m.place.naver.com/restaurant/12785328/review/visitor
연남족발1987,0.341,0.146,0.124,0.052,0.073,0.075,0.13,0.059,0,https://m.place.naver.com/restaurant/1068624619/review/visitor
무쇠김치삼겹 홍대점,0.477,0.147,0.103,0.031,0.053,0.109,0.08,0,0,https://m.place.naver.com/restaurant/1609583532/review/visitor
오이지 연남,0.332,0.141,0.182,0.088,0.073,0.059,0.052,0.044,0.03,https://m.place.naver.com/restaurant/1728895666/review/visitor
들풀한상,0.389,0.157,0.091,0.116,0.134,0,0.053,0.061,0,https://m.place.naver.com/restaurant/37162689/review/visitor
청년닭발1987,0.375,0.197,0.141,0.036,0.039,0.065,0.063,0.085,0,https://m.place.naver.com/restaurant/37282346/review/visitor
둥지닭볶음탕,0.327,0.139,0.147,0.061,0.057,0.104,0.136,0.029,0,https://m.place.naver.com/restaurant/1440816737/review/visitor
천이오겹살 합정본점,0.381,0.153,0.085,0.018,0.067,0.212,0.075,0,0.008,https://m.place.naver.com/restaurant/13110509/review/visitor
장인닭갈비 홍대점,0.319,0.182,0.055,0.085,0.082,0.11,0.167,0,0,https://m.place.naver.com/restaurant/1811482510/review/visitor
홍대오잉크,0.231,0.183,0.084,0.116,0.092,0.145,0.103,0.046,0,https://m.place.naver.com/restaurant/1033184673/review/visitor
팔각도 합정역점,0.44,0.151,0.123,0.077,0.078,0.069,0.028,0.034,0,https://m.place.naver.com/restaurant/1358985425/review/visitor
황곱,0.348,0.221,0.064,0.086,0.128,0.046,0.071,0.035,0,https://m.place.naver.com/restaurant/1430853087/review/visitor
송계옥 홍대점,0.329,0.221,0.159,0.162,0,0,0,0.129,0,https://m.place.naver.com/restaurant/1081653783/review/visitor
우마담,0.296,0.202,0.135,0.091,0.107,0.018,0.042,0.109,0,https://m.place.naver.com/restaurant/1658726759/review/visitor
그남자의볶음밥,0.32,0.101,0.022,0.025,0.061,0.171,0.171,0.012,0.118,https://m.place.naver.com/restaurant/35575538/review/visitor
연남어부,0.254,0.161,0.102,0.074,0.208,0.055,0.052,0.094,0,https://m.place.naver.com/restaurant/1351531666/review/visitor
동두천솥뚜껑삼겹살 합정점,0.323,0.137,0.05,0.041,0.076,0.218,0.155,0,0,https://m.place.naver.com/restaurant/1353043108/review/visitor
교동집,0.54,0.122,0.066,0.025,0.087,0.064,0.095,0,0,https://m.place.naver.com/restaurant/13098718/review/visitor
목로관,0.347,0.164,0.145,0.091,0.135,0.057,0.061,0,0,https://m.place.naver.com/restaurant/1996401295/review/visitor
우아하게,0.249,0.154,0.104,0.106,0.101,0.032,0.032,0.129,0.094,https://m.place.naver.com/restaurant/1129627515/review/visitor
88로타리집 홍대점,0.285,0.232,0,0.128,0.085,0.144,0.082,0.043,0,https://m.place.naver.com/restaurant/1159362515/review/visitor
창돈,0.299,0.218,0.13,0.134,0.109,0.042,0.032,0.035,0,https://m.place.naver.com/restaurant/1194347023/review/visitor
태우마 홍대점,0.255,0.208,0.106,0.138,0.118,0.103,0,0.072,0,https://m.place.naver.com/restaurant/1833512887/review/visitor
고기꾼김춘배 홍대본점,0.354,0.191,0.051,0.084,0.117,0.072,0.053,0.077,0,https://m.place.naver.com/restaurant/36873920/review/visitor
육성숙,0.305,0.283,0.075,0.212,0,0,0,0.124,0,https://m.place.naver.com/restaurant/1832644987/review/visitor
백년 도담돌솥밥,0.472,0.151,0,0.051,0.138,0.09,0.098,0,0,https://m.place.naver.com/restaurant/36091096/review/visitor
시장냉면 홍대점,0.275,0.155,0.054,0.101,0.054,0.137,0.069,0.03,0.127,https://m.place.naver.com/restaurant/1099670238/review/visitor
청돈옥,0.341,0.25,0.088,0.171,0.083,0,0,0.066,0,https://m.place.naver.com/restaurant/1272336785/review/visitor
김씨육면,0.27,0.165,0.141,0.108,0.077,0.04,0.042,0.041,0.116,https://m.place.naver.com/restaurant/1048885383/review/visitor
이양권반상,0.24,0.12,0.098,0.062,0.057,0.107,0.147,0.021,0.148,https://m.place.naver.com/restaurant/1752228333/review/visitor
맛깔1987,0.268,0.152,0.111,0.053,0.197,0.061,0.056,0.102,0,https://m.place.naver.com/restaurant/1837920980/review/visitor
뭉텅 홍대점,0.307,0.251,0.056,0.156,0,0.078,0.101,0.05,0,https://m.place.naver.com/restaurant/1000991258/review/visitor
냉장고 합정점,0.327,0.179,0.127,0.111,0.144,0.024,0.043,0.043,0,https://m.place.naver.com/restaurant/1498186485/review/visitor
하연옥 마포점,0.337,0.085,0.096,0.12,0.062,0.022,0.147,0.037,0.093,https://m.place.naver.com/restaurant/1583697789/review/visitor
와우끝집,0.394,0.084,0.153,0.03,0.217,0.034,0.089,0,0,https://m.place.naver.com/restaurant/34079350/review/visitor
금성회관 합정본점,0.275,0.202,0.038,0.159,0.139,0.051,0,0.137,0,https://m.place.naver.com/restaurant/1348526323/review/visitor
곰솥,0.246,0.108,0.042,0.153,0.083,0.044,0.042,0.138,0.144,https://m.place.naver.com/restaurant/1208511844/review/visitor
정화,0.345,0.246,0.139,0.04,0.124,0.059,0.048,0,0,https://m.place.naver.com/restaurant/31919239/review/visitor
바다회사랑2호점,0.406,0.079,0.113,0.029,0.239,0.049,0.085,0,0,https://m.place.naver.com/restaurant/35523842/review/visitor
배떼기곱창 홍대점,0.363,0.183,0.107,0.049,0.055,0.105,0.138,0,0,https://m.place.naver.com/restaurant/37322790/review/visitor
섬,0.359,0.19,0,0.039,0.13,0.065,0.06,0.099,0.057,https://m.place.naver.com/restaurant/1163396664/review/visitor
꽃살집 연남점,0.315,0.179,0.064,0.111,0.134,0.105,0,0.091,0,https://m.place.naver.com/restaurant/1772187177/review/visitor
돈수백 홍대직영점,0.436,0.102,0.026,0.038,0.055,0.118,0.083,0,0.142,https://m.place.naver.com/restaurant/11845737/review/visitor
이차돌 홍대점,0.384,0.193,0.064,0.04,0.042,0.195,0.082,0,0,https://m.place.naver.com/restaurant/488055128/review/visitor
대포막창,0.422,0.204,0.096,0.024,0.105,0.09,0.045,0.015,0,https://m.place.naver.com/restaurant/1019592431/review/visitor
남도뽀글이 홍대점,0.265,0.197,0.04,0.129,0.164,0.126,0.08,0,0,https://m.place.naver.com/restaurant/1536716181/review/visitor
돼지명가,0.329,0.223,0.097,0.148,0.131,0,0,0.071,0,https://m.place.naver.com/restaurant/1441592124/review/visitor
이대조뼈다귀,0.506,0.098,0,0.035,0.06,0.091,0.123,0,0.087,https://m.place.naver.com/restaurant/13027489/review/visitor
21세기우리바다수산,0.384,0.155,0.045,0.033,0.212,0.105,0.066,0,0,https://m.place.naver.com/restaurant/1217027261/review/visitor
도마 홍대본점,0.431,0.172,0.099,0.051,0.153,0.058,0.036,0,0,https://m.place.naver.com/restaurant/13291366/review/visitor
김덕후의곱창조 홍대본점,0.352,0.223,0.045,0.035,0.052,0.194,0.084,0.016,0,https://m.place.naver.com/restaurant/32779391/review/visitor
좋아해닭발,0.31,0.215,0.064,0.082,0.045,0.086,0.143,0.055,0,https://m.place.naver.com/restaurant/1146797936/review/visitor
탐탐오향족발,0.432,0.222,0.063,0.042,0.096,0.036,0.108,0,0,https://m.place.naver.com/restaurant/32745694/review/visitor
미쁘동,0.312,0.182,0.179,0.075,0.139,0,0.029,0.049,0.036,https://m.place.naver.com/restaurant/1685805793/review/visitor
하카타나카,0.32,0.112,0.149,0.066,0.081,0.03,0.1,0.024,0.118,https://m.place.naver.com/restaurant/13160647/review/visitor
정소바,0.246,0.122,0.111,0.091,0.15,0.036,0.058,0.098,0.088,https://m.place.naver.com/restaurant/1964274729/review/visitor
동동포차DDPC,0.385,0.294,0.117,0.095,0,0,0,0.108,0,https://m.place.naver.com/restaurant/1372736952/review/visitor
히메시야,0.375,0.141,0.064,0.042,0.102,0.06,0.058,0.009,0.149,https://m.place.naver.com/restaurant/33626741/review/visitor
가메스시,0.325,0.112,0.036,0.072,0.166,0.101,0.061,0.018,0.108,https://m.place.naver.com/restaurant/1092502636/review/visitor
쿄다이텐동,0.27,0.126,0.043,0.1,0.104,0.061,0.13,0.03,0.135,https://m.place.naver.com/restaurant/1992606492/review/visitor
오비야,0.354,0.085,0.177,0.048,0.102,0.044,0.102,0.031,0.058,https://m.place.naver.com/restaurant/13478975/review/visitor
오모테나시 오마카세,0.264,0.209,0.121,0.049,0.159,0.093,0.066,0.038,0,https://m.place.naver.com/restaurant/36391644/review/visitor
올랑올랑,0.354,0.126,0.138,0.063,0.104,0.045,0.055,0.041,0.074,https://m.place.naver.com/restaurant/1179975511/review/visitor
