가게 이름,1,2,3,4,5
스테이크 슈퍼,"""음식이 맛있어요""","""친절해요""","""인테리어가 멋져요""","""가성비가 좋아요""","""매장이 청결해요"""
육지,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""특별한 메뉴가 있어요""","""매장이 청결해요"""
바다회사랑2호점,"""음식이 맛있어요""","""재료가 신선해요""","""특별한 메뉴가 있어요""","""양이 많아요""","""친절해요"""
미쁘동,"""음식이 맛있어요""","""친절해요""","""특별한 메뉴가 있어요""","""재료가 신선해요""","""매장이 청결해요"""
스페이스원 버거,"""음식이 맛있어요""","""친절해요""","""매장이 청결해요""","""인테리어가 멋져요""","""재료가 신선해요"""
수택,"""친절해요""","""디저트가 맛있어요""","""특별한 메뉴가 있어요""","""인테리어가 멋져요""","""매장이 청결해요"""
티엔미미 홍대점,"""음식이 맛있어요""","""인테리어가 멋져요""","""특별한 메뉴가 있어요""","""친절해요""","""매장이 청결해요"""
야키토리 나루토,"""음식이 맛있어요""","""친절해요""","""특별한 메뉴가 있어요""","""재료가 신선해요""","""특별한 날 가기 좋아요"""
우와,"""음식이 맛있어요""","""친절해요""","""특별한 메뉴가 있어요""","""재료가 신선해요""","""인테리어가 멋져요"""
연남취향,"""음식이 맛있어요""","""특별한 메뉴가 있어요""","""인테리어가 멋져요""","""친절해요""","""재료가 신선해요"""
