가게 이름,1,인원 수,2,인원 수,3,인원 수,4,인원 수,5,인원 수,6,인원 수,7,인원 수,8,인원 수,9,인원 수,10,인원 수,
돈주는남자 본점,음식이 맛있어요,232,친절해요,130,재료가 신선해요,97,양이 많아요,68,가성비가 좋아요,59,단체모임 하기 좋아요,53,특별한 메뉴가 있어요,51,고기 질이 좋아요,35,직접 잘 구워줘요,33,매장이 청결해요,31,https://m.place.naver.com/restaurant/34013916/review/visitor
육몽 홍대본점,음식이 맛있어요,575,친절해요,363,가성비가 좋아요,210,매장이 청결해요,206,재료가 신선해요,204,양이 많아요,183,특별한 메뉴가 있어요,158,고기 질이 좋아요,128,단체모임 하기 좋아요,71,직접 잘 구워줘요,64,https://m.place.naver.com/restaurant/313241250/review/visitor
육지,음식이 맛있어요,646,친절해요,369,특별한 메뉴가 있어요,280,재료가 신선해요,263,매장이 청결해요,238,인테리어가 멋져요,147,가성비가 좋아요,133,양이 많아요,114,특별한 날 가기 좋아요,111,단체모임 하기 좋아요,82,https://m.place.naver.com/restaurant/1287775548/review/visitor
더담,음식이 맛있어요,150,친절해요,89,재료가 신선해요,63,특별한 날 가기 좋아요,53,매장이 청결해요,34,차분한 분위기에요,33,단체모임 하기 좋아요,28,비싼 만큼 가치있어요,24,인테리어가 멋져요,22,가성비가 좋아요,22,https://m.place.naver.com/restaurant/21433628/review/visitor
마포곱창타운 연남점,음식이 맛있어요,1694,친절해요,1139,재료가 신선해요,638,양이 많아요,510,매장이 넓어요,398,가성비가 좋아요,330,단체모임 하기 좋아요,329,특별한 메뉴가 있어요,273,매장이 청결해요,256,직접 잘 구워줘요,174,https://m.place.naver.com/restaurant/18356763/review/visitor
옥동식,음식이 맛있어요,671,혼밥하기 좋아요,311,특별한 메뉴가 있어요,231,재료가 신선해요,212,매장이 청결해요,194,친절해요,188,양이 많아요,112,인테리어가 멋져요,92,가성비가 좋아요,54,특별한 날 가기 좋아요,17,https://m.place.naver.com/restaurant/859857359/review/visitor
다독이네 숯불구이 홍대합정점,음식이 맛있어요,362,친절해요,328,가성비가 좋아요,219,재료가 신선해요,203,매장이 청결해요,198,직접 잘 구워줘요,93,특별한 메뉴가 있어요,88,매장이 넓어요,42,인테리어가 멋져요,34,단체모임 하기 좋아요,34,https://m.place.naver.com/restaurant/1648798478/review/visitor
산더미불고기,음식이 맛있어요,508,양이 많아요,305,가성비가 좋아요,248,친절해요,218,재료가 신선해요,188,특별한 메뉴가 있어요,160,매장이 청결해요,122,매장이 넓어요,73,단체모임 하기 좋아요,69,고기 질이 좋아요,16,https://m.place.naver.com/restaurant/31558719/review/visitor
풀뜯는돼지,음식이 맛있어요,395,재료가 신선해요,229,친절해요,219,특별한 메뉴가 있어요,182,매장이 청결해요,89,가성비가 좋아요,60,직접 잘 구워줘요,37,양이 많아요,28,단체모임 하기 좋아요,20,화장실이 깨끗해요,18,https://m.place.naver.com/restaurant/1630360144/review/visitor
합정광안리 본점,음식이 맛있어요,473,재료가 신선해요,325,친절해요,261,특별한 메뉴가 있어요,170,가성비가 좋아요,126,양이 많아요,121,매장이 청결해요,85,특별한 날 가기 좋아요,46,단체모임 하기 좋아요,38,인테리어가 멋져요,31,https://m.place.naver.com/restaurant/1223384037/review/visitor
평이담백 뼈칼국수 본점,음식이 맛있어요,542,양이 많아요,217,특별한 메뉴가 있어요,159,친절해요,155,매장이 청결해요,134,재료가 신선해요,110,혼밥하기 좋아요,89,가성비가 좋아요,70,매장이 넓어요,63,화장실이 깨끗해요,22,https://m.place.naver.com/restaurant/1092805249/review/visitor
신미경홍대닭갈비,음식이 맛있어요,484,양이 많아요,247,매장이 넓어요,209,친절해요,203,가성비가 좋아요,141,재료가 신선해요,108,단체모임 하기 좋아요,106,매장이 청결해요,62,특별한 메뉴가 있어요,51,고기 질이 좋아요,18,https://m.place.naver.com/restaurant/32572240/review/visitor
이양권반상 합정점,양이 많아요,79,음식이 맛있어요,77,가성비가 좋아요,59,특별한 메뉴가 있어요,58,친절해요,45,혼밥하기 좋아요,42,매장이 청결해요,36,매장이 넓어요,25,재료가 신선해요,21,인테리어가 멋져요,7,https://m.place.naver.com/restaurant/1772266165/review/visitor
경주식당,음식이 맛있어요,286,친절해요,141,인테리어가 멋져요,131,재료가 신선해요,75,특별한 메뉴가 있어요,75,매장이 청결해요,67,양이 많아요,61,특별한 날 가기 좋아요,48,가성비가 좋아요,27,매장이 넓어요,18,https://m.place.naver.com/restaurant/31469248/review/visitor
일편등심 홍대본점,음식이 맛있어요,561,친절해요,457,고기 질이 좋아요,394,직접 잘 구워줘요,338,특별한 날 가기 좋아요,234,재료가 신선해요,226,매장이 청결해요,200,비싼 만큼 가치있어요,124,인테리어가 멋져요,110,아늑해요,93,https://m.place.naver.com/restaurant/34565224/review/visitor
하와이조개 홍대점,음식이 맛있어요,1207,재료가 신선해요,825,친절해요,758,매장이 넓어요,731,매장이 청결해요,663,인테리어가 멋져요,525,가성비가 좋아요,379,술이 다양해요,274,특별한 메뉴가 있어요,272,화장실이 깨끗해요,214,https://m.place.naver.com/restaurant/1419575982/review/visitor
