가게 이름,1,2,3,4,5,링크
칠돈가 성산점,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""주차하기 편해요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/600824767?c=15,0,0,0,dh"
제주산방산나들목,"""음식이 맛있어요""","""인테리어가 멋져요""","""재료가 신선해요""","""양이 많아요""","""친절해요""","https://map.naver.com/v5/entry/place/38402606?c=15,0,0,0,dh"
형제도식당,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""양이 많아요""","""특별한 메뉴가 있어요""","https://map.naver.com/v5/entry/place/37293796?c=15,0,0,0,dh"
가람돌솥밥,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""주차하기 편해요""","""매장이 넓어요""","https://map.naver.com/v5/entry/place/16929189?c=15,0,0,0,dh"
중문예지원,"""음식이 맛있어요""","""친절해요""","""가성비가 좋아요""","""매장이 청결해요""","""재료가 신선해요""","https://map.naver.com/v5/entry/place/37417478?c=15,0,0,0,dh"
나운터 횟집 서귀포 본점,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""특별한 메뉴가 있어요""","""양이 많아요""","https://map.naver.com/v5/entry/place/11860350?c=15,0,0,0,dh"
흑돼지황칠족발,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""가성비가 좋아요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/1283193340?c=15,0,0,0,dh"
전망좋은횟집&흑돼지 성산본점,"""음식이 맛있어요""","""뷰가 좋아요""","""재료가 신선해요""","""친절해요""","""주차하기 편해요""","https://map.naver.com/v5/entry/place/13444915?c=15,0,0,0,dh"
성산흑돼지 흑돈쭐,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""매장이 청결해요""","""가성비가 좋아요""","https://map.naver.com/v5/entry/place/1432042622?c=15,0,0,0,dh"
성산 브런치카페 어반정글 부얀트무드,"""인테리어가 멋져요""","""친절해요""","""음식이 맛있어요""","""특별한 메뉴가 있어요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/1910786191?c=15,0,0,0,dh"
오는정김밥,"""음식이 맛있어요""","""특별한 메뉴가 있어요""","""재료가 신선해요""","""가성비가 좋아요""","""친절해요""","https://map.naver.com/v5/entry/place/1011125170?c=15,0,0,0,dh"
원앤온리,"""뷰가 좋아요""","""사진이 잘 나와요""","""커피가 맛있어요""","""인테리어가 멋져요""","""디저트가 맛있어요""","https://map.naver.com/v5/entry/place/1256246739?c=15,0,0,0,dh"
숙성도 중문점,"""음식이 맛있어요""","""친절해요""","""특별한 메뉴가 있어요""","""재료가 신선해요""","""매장이 넓어요""","https://map.naver.com/v5/entry/place/1146342571?c=15,0,0,0,dh"
뱃도새기흑돼지 서귀포올레시장점,"""음식이 맛있어요""","""주차하기 편해요""","""친절해요""","""재료가 신선해요""","""특별한 메뉴가 있어요""","https://map.naver.com/v5/entry/place/886942075?c=15,0,0,0,dh"
착한갈치,"""음식이 맛있어요""","""가성비가 좋아요""","""재료가 신선해요""","""친절해요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/1491225475?c=15,0,0,0,dh"
제주곰집,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""인테리어가 멋져요""","""양이 많아요""","https://map.naver.com/v5/entry/place/35848888?c=15,0,0,0,dh"
옛날옛적 성산본점,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""매장이 넓어요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/11885801?c=15,0,0,0,dh"
부부요리단,"""음식이 맛있어요""","""특별한 메뉴가 있어요""","""매장이 청결해요""","""친절해요""","""인테리어가 멋져요""","https://map.naver.com/v5/entry/place/1041376999?c=15,0,0,0,dh"
화고 신시가지점,"""음식이 맛있어요""","""친절해요""","""재료가 신선해요""","""특별한 메뉴가 있어요""","""매장이 청결해요""","https://map.naver.com/v5/entry/place/1833570050?c=15,0,0,0,dh"
중문회포장센터 새벽야시장,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""특별한 메뉴가 있어요""","""가성비가 좋아요""","https://map.naver.com/v5/entry/place/1437085679?c=15,0,0,0,dh"
고집돌우럭 중문점,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""매장이 청결해요""","""매장이 넓어요""","https://map.naver.com/v5/entry/place/766197218?c=15,0,0,0,dh"
제주옥 중문본점,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""매장이 청결해요""","""가성비가 좋아요""","https://map.naver.com/v5/entry/place/1183252190?c=15,0,0,0,dh"
중문 돌담흑돼지,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""매장이 청결해요""","""특별한 메뉴가 있어요""","https://map.naver.com/v5/entry/place/1038108444?c=15,0,0,0,dh"
오돈가,"""음식이 맛있어요""","""재료가 신선해요""","""친절해요""","""양이 많아요""","""가성비가 좋아요""","https://map.naver.com/v5/entry/place/1243094217?c=15,0,0,0,dh"
