가게 이름,1,2,3,4,5
JASE,"""술이 다양해요""","""인테리어가 멋져요""","""친절해요""","""음식이 맛있어요""","""특별한 메뉴가 있어요"""
어리라운지,"""술이 다양해요""","""음식이 맛있어요""","""인테리어가 멋져요""","""음악이 좋아요""","""친절해요"""
50pick,"""술이 다양해요""","""음식이 맛있어요""","""친절해요""","""가성비가 좋아요""","""특별한 메뉴가 있어요"""
비터스,"""술이 다양해요""","""음식이 맛있어요""","""친절해요""","""특별한 메뉴가 있어요""","""대화하기 좋아요"""
아초바,"""술이 다양해요""","""친절해요""","""대화하기 좋아요""","""혼술하기 좋아요""","""특별한 메뉴가 있어요"""
투비,"""친절해요""","""혼술하기 좋아요""","""술이 다양해요""","""대화하기 좋아요""","""인테리어가 멋져요"""
루프탑어반비치,"""인테리어가 멋져요""","""술이 다양해요""","""음식이 맛있어요""","""친절해요""","""대화하기 좋아요"""
아워스,"""술이 다양해요""","""인테리어가 멋져요""","""친절해요""","""음악이 좋아요""","""대화하기 좋아요"""
스트라이프바,"""술이 다양해요""","""친절해요""","""가성비가 좋아요""","""인테리어가 멋져요""","""음식이 맛있어요"""
어리,"""술이 다양해요""","""친절해요""","""음식이 맛있어요""","""인테리어가 멋져요""","""음악이 좋아요"""
깃털,"""혼술하기 좋아요""","""술이 다양해요""","""친절해요""","""대화하기 좋아요""","""오래 머무르기 좋아요"""
33YUKON,"""술이 다양해요""","""인테리어가 멋져요""","""친절해요""","""음식이 맛있어요""","""가성비가 좋아요"""
쨈지달,"""술이 다양해요""","""음식이 맛있어요""","""친절해요""","""대화하기 좋아요""","""특별한 메뉴가 있어요"""
아피시온,"""술이 다양해요""","""인테리어가 멋져요""","""친절해요""","""음악이 좋아요""","""특별한 메뉴가 있어요"""
리틀빅,"""술이 다양해요""","""친절해요""","""음악이 좋아요""","""혼술하기 좋아요""","""인테리어가 멋져요"""
홍옥 상수점,"""인테리어가 멋져요""","""술이 다양해요""","""음악이 좋아요""","""음식이 맛있어요""","""친절해요"""
라이즈 호텔 사이드 노트 클럽,"""인테리어가 멋져요""","""친절해요""","""술이 다양해요""","""음식이 맛있어요""","""음악이 좋아요"""
토트,"""술이 다양해요""","""친절해요""","""혼술하기 좋아요""","""인테리어가 멋져요""","""특별한 메뉴가 있어요"""
깊은숲,"""술이 다양해요""","""음식이 맛있어요""","""친절해요""","""대화하기 좋아요""","""가성비가 좋아요"""
카시타 후카바 홍대점,"""친절해요""","""오래 머무르기 좋아요""","""술이 다양해요""","""음악이 좋아요""","""인테리어가 멋져요"""
슈가레이,"""술이 다양해요""","""음악이 좋아요""","""인테리어가 멋져요""","""가성비가 좋아요""","""음식이 맛있어요"""
루프힙,"""술이 다양해요""","""음식이 맛있어요""","""친절해요""","""인테리어가 멋져요""","""음악이 좋아요"""
미드나잇라운지,"""술이 다양해요""","""친절해요""","""인테리어가 멋져요""","""대화하기 좋아요""","""혼술하기 좋아요"""
디벨롭연남,"""술이 다양해요""","""친절해요""","""음식이 맛있어요""","""인테리어가 멋져요""","""대화하기 좋아요"""
문학살롱 초고,"""인테리어가 멋져요""","""혼술하기 좋아요""","""특별한 메뉴가 있어요""","""술이 다양해요""","""음악이 좋아요"""
고요,"""술이 다양해요""","""친절해요""","""인테리어가 멋져요""","""대화하기 좋아요""","""혼술하기 좋아요"""
유니르,"""친절해요""","""술이 다양해요""","""인테리어가 멋져요""","""음악이 좋아요""","""가성비가 좋아요"""
플랜힙,"""술이 다양해요""","""친절해요""","""음악이 좋아요""","""인테리어가 멋져요""","""음식이 맛있어요"""
알디프 티 바,"""차가 맛있어요""","""특별한 메뉴가 있어요""","""친절해요""","""음료가 맛있어요""","""매장이 청결해요"""
애쉬앤블룸,"""술이 다양해요""","""친절해요""","""인테리어가 멋져요""","""대화하기 좋아요""","""음악이 좋아요"""
페더,"""술이 다양해요""","""특별한 메뉴가 있어요""","""인테리어가 멋져요""","""친절해요""","""혼술하기 좋아요"""
디스틸,"""술이 다양해요""","""혼술하기 좋아요""","""친절해요""","""음식이 맛있어요""","""대화하기 좋아요"""
세븐틴벌스데이,"""인테리어가 멋져요""","""음악이 좋아요""","""술이 다양해요""","""친절해요""","""음식이 맛있어요"""
이세상괜한걱정,"""대화하기 좋아요""","""오래 머무르기 좋아요""","""술이 다양해요""","""혼술하기 좋아요""","""인테리어가 멋져요"""
T12,"""술이 다양해요""","""인테리어가 멋져요""","""음악이 좋아요""","""음식이 맛있어요""","""가성비가 좋아요"""
650,"""술이 다양해요""","""음악이 좋아요""","""인테리어가 멋져요""","""음식이 맛있어요""","""친절해요"""
비앤비,"""술이 다양해요""","""친절해요""","""대화하기 좋아요""","""음식이 맛있어요""","""음악이 좋아요"""
리튬,"""술이 다양해요""","""음식이 맛있어요""","""친절해요""","""가성비가 좋아요""","""기본 안주가 좋아요"""
뽀르께노 스페니쉬 타파스바,"""음식이 맛있어요""","""특별한 메뉴가 있어요""","""친절해요""","""인테리어가 멋져요""","""특별한 날 가기 좋아요"""
